Test Year,Test level,Jurisdiction Id,ACARA ID,PSI,Local school student ID,TAA student ID,Participation Code,Item Response,Anonymised Id
2017,5,9,21212,R100000021D,150257312,150257312,P,"<p>This is a sample of 300 words</p>\n\n<p>dolores est maxime hic quo aliquam sed <em>dolores</em> est aut in voluptatem qui et magni vitae quasi deleniti voluptas ducimus laboriosam in est in, impedit </p>\n<p style=""text-align:center"">est aut quia eum totam qui quia et repudiandae harum ipsum asperiores dolores repudiandae, eligendi ut quis sapiente nobis, eligendi aut provident. fuga velit consequatur aliquam debitis aperiam ut explicabo vitae quia ut ad architecto </p>\n<p>natus incidunt</p>\n<ol>\n<li>Rationarium Compositum I</li>\n<li>Rationarium Compositum II</li>\n<li>Rationarium Compositum III</li></p>\n <p>ipsam, at id architecto et nihil aliquid, quia quidem eaque eos quod facere et omnis, qui doloremque sed. consequatur</p>\n<ul>\n<li>Rationarium Incompositum I</li>\n<li>Rationarium Incompositum II</li>\n<li>Rationarium Incompositum III</li></p>\n <p>odio. nemo enim nihil quo nostrum quia dolorem possimus aut ab et et optio omnis in nihil in perferendis recusandae ut excepturi nihil totam et voluptatem ullam <span style=""font-size:16px"">expedita</span> ipsum. <em>quasi</em> et porro qui nihil, sed non. error ut <strong>excepturi</strong> vel velit a autem rem voluptas est dolor <span style=""font-size:16px"">consectetur</span> vero id est corporis blanditiis rem hic nostrum dolorum voluptatem et suscipit rem corrupti eum mollitia quia numquam unde sunt <strong>libero</strong> omnis quam totam ducimus molestiae sunt quia aperiam eum beatae fugiat vel, iusto dolorum <span style=""text-decoration:underline"">libero</span> perferendis. <strong>sit.</strong> odit nisi aliquid voluptate consectetur quis qui reprehenderit inventore ut ea nobis nesciunt in aut <em>placeat</em> delectus rerum ut vel sapiente debitis est totam possimus ab <span style=""text-decoration:underline"">dolorem</span> assumenda quo delectus eos vel accusamus aut hic aut <span style=""font-size:16px"">rem</span> placeat est possimus. ut. voluptatibus veritatis non expedita sed necessitatibus in, sequi vel itaque est dolor iste voluptatibus <span style=""text-decoration:underline"">ex</span> aut harum aliquid numquam accusantium velit optio temporibus </p>\n<p style=""text-align:left"">voluptatem sed quis quia tempora perspiciatis et et illum eaque non omnis officiis ratione nesciunt explicabo occaecati voluptatem ut hic esse consequatur quia accusamus quo facilis voluptatem commodi cupiditate dolorum quas, qui odit aut et nobis ducimus. est id nobis sapiente molestiae dolore architecto</p>",Pzc3FMdmfWpMgIfs32OwvF
2017,7,9,21212,R100000017S,563467373,563467373,E,,32sA10IqJKeomdjrH4BDIf
2017,7,9,21212,R100000005G,675670082,675670082,P,"<p>This is a sample of 600 words</p>\n\n<p>dolorum molestiae aut facere ea officiis nulla quae <em>fugiat</em> reprehenderit placeat a facere cumque eius reiciendis voluptas aliquid voluptas earum soluta sunt illo animi deleniti maiores fuga. rem quis impedit nemo porro </p>\n<p>optio quibusdam animi qui aut est. voluptas animi sunt explicabo autem. delectus sunt aliquid aut dolor hic et cumque natus </p>\n<p style=""text-align:center"">nemo at tempore, voluptas eaque voluptates quia possimus dolorem voluptas ut et mollitia nemo ea ex alias velit voluptates asperiores quibusdam nobis est in enim. ratione deserunt</p>\n<ul>\n<li>Rationarium Incompositum I</li>\n<li>Rationarium Incompositum II</li>\n<li>Rationarium Incompositum III</li></p>\n <p>dolorum voluptas sit similique <span style=""font-size:16px"">voluptas</span> maiores adipisci perferendis praesentium voluptas ut quisquam quae explicabo aliquid et aliquam cum dolor sed sint perspiciatis ea voluptas suscipit pariatur culpa. inventore sint quos corrupti voluptas culpa quaerat, eius incidunt impedit nulla consequatur ipsam ut voluptate cupiditate impedit ut et ipsam odit id ipsam omnis. autem expedita sed molestiae maxime odio nobis modi accusantium aut sed suscipit nihil architecto cumque ratione deserunt vero aut est cupiditate temporibus expedita omnis eum corrupti aperiam at a nam nisi aut error et ut soluta eaque et eveniet sed ipsum minus unde rem voluptas illo dolores </p>\n<p style=""text-align:left"">ipsa aut similique, provident fuga sapiente quos dicta tempora qui mollitia, quasi cumque corrupti dolorem rerum, repudiandae similique consequatur temporibus eos consequatur ipsa laborum fugiat dolores unde voluptates est animi corrupti similique velit et est officia porro velit culpa sit voluptatem voluptates non mollitia atque fuga rerum autem dicta saepe veritatis ex molestiae sunt consequuntur nesciunt quia incidunt aperiam porro deserunt tempora maxime omnis tempore voluptas qui eum eius libero vel exercitationem reprehenderit et quia harum est voluptatum labore <strong>ex</strong> qui deleniti impedit ea enim <strong>libero</strong> et corrupti voluptatem deleniti adipisci quia dolorem quo aut et temporibus debitis et delectus et error dolores ab sunt porro et et quia ipsum temporibus quasi rerum dolores voluptatem <span style=""font-size:16px"">sit</span> maxime <span style=""text-decoration:underline"">laborum</span> ducimus, debitis odit velit nesciunt ducimus atque voluptatem sed ullam. iusto cum nesciunt <span style=""text-decoration:underline"">nesciunt</span> asperiores ea. dolore delectus eius velit saepe quia</p>\n<ol>\n<li>Rationarium Compositum I</li>\n<li>Rationarium Compositum II</li>\n<li>Rationarium Compositum III</li></p>\n <p>voluptatem consequatur <em>non</em> nulla qui dicta sapiente provident consequatur vel vero qui tempore ut eaque in <span style=""text-decoration:underline"">et</span> odit facere illum eos qui impedit aut est saepe facere culpa ad, consectetur minima vitae aut. quas ut nam a enim ea qui quo est est harum rerum veritatis et at a fugit explicabo facilis earum dolor autem voluptas nam quos tenetur et reiciendis consequatur voluptatum suscipit dolores aut rerum aut distinctio placeat exercitationem iusto quia sit beatae numquam architecto ipsam sit minus facere et hic porro inventore beatae rerum non optio <em>ut</em> ut dicta porro aspernatur officia eveniet assumenda earum vitae earum blanditiis fugiat consectetur vel <strong>ea</strong> amet odit similique reiciendis corporis necessitatibus libero et voluptatem non et eaque laudantium impedit vel commodi quis quia magni sint id rerum corrupti et totam sequi ut voluptatem consequatur fugiat voluptatum repudiandae itaque rerum atque maxime ullam iusto quas quaerat et omnis praesentium hic dicta vel quas magnam qui ab debitis nam eveniet et est expedita rerum impedit ab, neque nihil a ut soluta asperiores et repudiandae nemo similique quaerat blanditiis nihil voluptate nobis ad accusantium ea provident maxime perferendis aspernatur voluptates explicabo ut laboriosam explicabo in doloremque aut autem corporis est dolorem rerum, asperiores explicabo et <span style=""font-size:16px"">pariatur</span> unde fuga et molestiae ad corrupti excepturi nostrum voluptatem consequatur fuga. cupiditate et ea ratione voluptas non qui accusamus est enim quasi veritatis et dolorum accusamus neque ut dicta labore aliquam aliquam cumque voluptas harum qui illo dolor laboriosam dolores accusamus aut placeat aut ut, repudiandae commodi consequatur laboriosam autem vel pariatur qui voluptas voluptate</p>",Bs3nSBggsieQPsfipqveG1
2017,5,9,21212,R100000007P,415492555,415492555,P,"<p>This is a sample of 300 words</p>\n\n<p>dolores est maxime hic quo aliquam sed <em>dolores</em> est aut in voluptatem qui et magni vitae quasi deleniti voluptas ducimus laboriosam in est in, impedit </p>\n<p style=""text-align:center"">est aut quia eum totam qui quia et repudiandae harum ipsum asperiores dolores repudiandae, eligendi ut quis sapiente nobis, eligendi aut provident. fuga velit consequatur aliquam debitis aperiam ut explicabo vitae quia ut ad architecto </p>\n<p>natus incidunt</p>\n<ol>\n<li>Rationarium Compositum I</li>\n<li>Rationarium Compositum II</li>\n<li>Rationarium Compositum III</li></p>\n <p>ipsam, at id architecto et nihil aliquid, quia quidem eaque eos quod facere et omnis, qui doloremque sed. consequatur</p>\n<ul>\n<li>Rationarium Incompositum I</li>\n<li>Rationarium Incompositum II</li>\n<li>Rationarium Incompositum III</li></p>\n <p>odio. nemo enim nihil quo nostrum quia dolorem possimus aut ab et et optio omnis in nihil in perferendis recusandae ut excepturi nihil totam et voluptatem ullam <span style=""font-size:16px"">expedita</span> ipsum. <em>quasi</em> et porro qui nihil, sed non. error ut <strong>excepturi</strong> vel velit a autem rem voluptas est dolor <span style=""font-size:16px"">consectetur</span> vero id est corporis blanditiis rem hic nostrum dolorum voluptatem et suscipit rem corrupti eum mollitia quia numquam unde sunt <strong>libero</strong> omnis quam totam ducimus molestiae sunt quia aperiam eum beatae fugiat vel, iusto dolorum <span style=""text-decoration:underline"">libero</span> perferendis. <strong>sit.</strong> odit nisi aliquid voluptate consectetur quis qui reprehenderit inventore ut ea nobis nesciunt in aut <em>placeat</em> delectus rerum ut vel sapiente debitis est totam possimus ab <span style=""text-decoration:underline"">dolorem</span> assumenda quo delectus eos vel accusamus aut hic aut <span style=""font-size:16px"">rem</span> placeat est possimus. ut. voluptatibus veritatis non expedita sed necessitatibus in, sequi vel itaque est dolor iste voluptatibus <span style=""text-decoration:underline"">ex</span> aut harum aliquid numquam accusantium velit optio temporibus </p>\n<p style=""text-align:left"">voluptatem sed quis quia tempora perspiciatis et et illum eaque non omnis officiis ratione nesciunt explicabo occaecati voluptatem ut hic esse consequatur quia accusamus quo facilis voluptatem commodi cupiditate dolorum quas, qui odit aut et nobis ducimus. est id nobis sapiente molestiae dolore architecto</p>",gXacu7DzEb41IvyzLDRy38
2017,5,9,21212,R100000000K,982774777,982774777,P,"<p>This is a sample of 300 words</p>\n\n<p>dolores est maxime hic quo aliquam sed <em>dolores</em> est aut in voluptatem qui et magni vitae quasi deleniti voluptas ducimus laboriosam in est in, impedit </p>\n<p style=""text-align:center"">est aut quia eum totam qui quia et repudiandae harum ipsum asperiores dolores repudiandae, eligendi ut quis sapiente nobis, eligendi aut provident. fuga velit consequatur aliquam debitis aperiam ut explicabo vitae quia ut ad architecto </p>\n<p>natus incidunt</p>\n<ol>\n<li>Rationarium Compositum I</li>\n<li>Rationarium Compositum II</li>\n<li>Rationarium Compositum III</li></p>\n <p>ipsam, at id architecto et nihil aliquid, quia quidem eaque eos quod facere et omnis, qui doloremque sed. consequatur</p>\n<ul>\n<li>Rationarium Incompositum I</li>\n<li>Rationarium Incompositum II</li>\n<li>Rationarium Incompositum III</li></p>\n <p>odio. nemo enim nihil quo nostrum quia dolorem possimus aut ab et et optio omnis in nihil in perferendis recusandae ut excepturi nihil totam et voluptatem ullam <span style=""font-size:16px"">expedita</span> ipsum. <em>quasi</em> et porro qui nihil, sed non. error ut <strong>excepturi</strong> vel velit a autem rem voluptas est dolor <span style=""font-size:16px"">consectetur</span> vero id est corporis blanditiis rem hic nostrum dolorum voluptatem et suscipit rem corrupti eum mollitia quia numquam unde sunt <strong>libero</strong> omnis quam totam ducimus molestiae sunt quia aperiam eum beatae fugiat vel, iusto dolorum <span style=""text-decoration:underline"">libero</span> perferendis. <strong>sit.</strong> odit nisi aliquid voluptate consectetur quis qui reprehenderit inventore ut ea nobis nesciunt in aut <em>placeat</em> delectus rerum ut vel sapiente debitis est totam possimus ab <span style=""text-decoration:underline"">dolorem</span> assumenda quo delectus eos vel accusamus aut hic aut <span style=""font-size:16px"">rem</span> placeat est possimus. ut. voluptatibus veritatis non expedita sed necessitatibus in, sequi vel itaque est dolor iste voluptatibus <span style=""text-decoration:underline"">ex</span> aut harum aliquid numquam accusantium velit optio temporibus </p>\n<p style=""text-align:left"">voluptatem sed quis quia tempora perspiciatis et et illum eaque non omnis officiis ratione nesciunt explicabo occaecati voluptatem ut hic esse consequatur quia accusamus quo facilis voluptatem commodi cupiditate dolorum quas, qui odit aut et nobis ducimus. est id nobis sapiente molestiae dolore architecto</p>",o1nQF6f3KiI94o4Yz7h2KH
2017,5,9,21212,R100000022S,344586535,344586535,P,"<p>This is a sample of 300 words</p>\n\n<p>dolores est maxime hic quo aliquam sed <em>dolores</em> est aut in voluptatem qui et magni vitae quasi deleniti voluptas ducimus laboriosam in est in, impedit </p>\n<p style=""text-align:center"">est aut quia eum totam qui quia et repudiandae harum ipsum asperiores dolores repudiandae, eligendi ut quis sapiente nobis, eligendi aut provident. fuga velit consequatur aliquam debitis aperiam ut explicabo vitae quia ut ad architecto </p>\n<p>natus incidunt</p>\n<ol>\n<li>Rationarium Compositum I</li>\n<li>Rationarium Compositum II</li>\n<li>Rationarium Compositum III</li></p>\n <p>ipsam, at id architecto et nihil aliquid, quia quidem eaque eos quod facere et omnis, qui doloremque sed. consequatur</p>\n<ul>\n<li>Rationarium Incompositum I</li>\n<li>Rationarium Incompositum II</li>\n<li>Rationarium Incompositum III</li></p>\n <p>odio. nemo enim nihil quo nostrum quia dolorem possimus aut ab et et optio omnis in nihil in perferendis recusandae ut excepturi nihil totam et voluptatem ullam <span style=""font-size:16px"">expedita</span> ipsum. <em>quasi</em> et porro qui nihil, sed non. error ut <strong>excepturi</strong> vel velit a autem rem voluptas est dolor <span style=""font-size:16px"">consectetur</span> vero id est corporis blanditiis rem hic nostrum dolorum voluptatem et suscipit rem corrupti eum mollitia quia numquam unde sunt <strong>libero</strong> omnis quam totam ducimus molestiae sunt quia aperiam eum beatae fugiat vel, iusto dolorum <span style=""text-decoration:underline"">libero</span> perferendis. <strong>sit.</strong> odit nisi aliquid voluptate consectetur quis qui reprehenderit inventore ut ea nobis nesciunt in aut <em>placeat</em> delectus rerum ut vel sapiente debitis est totam possimus ab <span style=""text-decoration:underline"">dolorem</span> assumenda quo delectus eos vel accusamus aut hic aut <span style=""font-size:16px"">rem</span> placeat est possimus. ut. voluptatibus veritatis non expedita sed necessitatibus in, sequi vel itaque est dolor iste voluptatibus <span style=""text-decoration:underline"">ex</span> aut harum aliquid numquam accusantium velit optio temporibus </p>\n<p style=""text-align:left"">voluptatem sed quis quia tempora perspiciatis et et illum eaque non omnis officiis ratione nesciunt explicabo occaecati voluptatem ut hic esse consequatur quia accusamus quo facilis voluptatem commodi cupiditate dolorum quas, qui odit aut et nobis ducimus. est id nobis sapiente molestiae dolore architecto</p>",oWd03BodB8awO1sZN2y7ei
2017,9,9,21212,R100000011H,46299451,46299451,P,"<p>This is a sample of 300 words</p>\n\n<p>omnis ratione temporibus velit <span style=""font-size:16px"">similique</span> non enim voluptas et. sit minus magni nam voluptas ex officia sunt ullam perferendis aut <span style=""text-decoration:underline"">velit</span> nam ad <em>quo</em> et magnam voluptatibus et quisquam suscipit nemo tenetur quod ut consequatur sapiente perspiciatis cumque minus quos veniam necessitatibus qui ut architecto fugit</p>\n<ul>\n<li>Rationarium Incompositum I</li>\n<li>Rationarium Incompositum II</li>\n<li>Rationarium Incompositum III</li></p>\n <p>ullam et aut cumque consequatur sequi voluptatem rem sequi qui quibusdam ullam exercitationem est omnis voluptatem dignissimos sed at soluta aspernatur modi sed nobis <strong>voluptas</strong> laboriosam veritatis pariatur vitae molestias labore. autem aperiam voluptates molestias aspernatur in sed aliquam qui ab enim asperiores quisquam ea et ut maiores aut distinctio repellendus sint eius cumque est occaecati dignissimos <span style=""font-size:16px"">error</span> voluptates delectus velit optio eveniet voluptas aut at vero consectetur iusto nihil fugiat, delectus commodi. veniam sunt nemo ipsam dolor, modi accusantium cumque. ut dolorum incidunt, aut non qui eos <em>et</em> ex alias vel voluptas totam ullam non quasi nihil sit consequatur dolorum nostrum </p>\n<p>pariatur <em>rem</em> et deserunt eos modi consequatur ut sapiente suscipit aspernatur <strong>dignissimos</strong> et dolore quo omnis quis qui deserunt officia id <span style=""text-decoration:underline"">dolore</span> laboriosam animi ut accusantium eos tempora autem culpa quod velit </p>\n<p style=""text-align:left"">ducimus dolorem omnis praesentium sint et natus voluptatibus rerum cum accusamus dolores adipisci laborum, est voluptatibus quasi eveniet et, saepe quasi earum est quos, numquam assumenda velit reiciendis ex nam recusandae qui qui ut corporis, dolore. tempore cum perferendis reiciendis corrupti molestias, in asperiores </p>\n<p style=""text-align:center"">voluptatem. assumenda non rerum natus odit quo <span style=""font-size:16px"">optio</span> ducimus quae adipisci quis perspiciatis eos odio nihil ut est ducimus rerum sed</p>\n<ol>\n<li>Rationarium Compositum I</li>\n<li>Rationarium Compositum II</li>\n<li>Rationarium Compositum III</li></p>\n <p>voluptas eos et <strong>quia</strong> numquam sed doloremque molestias voluptatum. qui, ut. eum cupiditate, soluta. in sed repudiandae eos est numquam quisquam laudantium <span style=""text-decoration:underline"">aperiam</span> consequatur sit cum omnis doloremque provident temporibus</p>",ZSiqFpBpyHQtrkuoEmVcj3
2017,9,9,21212,R100000019K,876603939,876603939,R,,HVFRMefutTKH6HpHyZhEPE
2017,9,9,21212,R100000016D,767981676,767981676,E,,l9AEXXCwkQcRXVV1SlprVD
2017,9,9,21212,R100000002D,362156703,362156703,P,"<p>This is a sample of 300 words</p>\n\n<p>ratione sequi sequi voluptatem non maxime accusamus sint quam aut. excepturi est eos ut quidem dolor quia ratione eos pariatur debitis omnis qui molestiae perspiciatis repudiandae <span style=""font-size:16px"">earum</span> eos harum earum iure quia assumenda numquam itaque aut, ut et vel eum et ratione officia maxime animi quas commodi animi impedit ratione cupiditate itaque. eos fugit, <em>qui</em> atque </p>\n<p>illum aut et <span style=""font-size:16px"">quia</span> eum, atque necessitatibus voluptas aut. veritatis sit officiis, voluptatum quae nulla. debitis nihil molestiae illo eos corporis quod est quia voluptatibus nihil <em>cumque</em> recusandae totam aut. vero molestiae aliquam corrupti <span style=""text-decoration:underline"">voluptatem</span> enim magnam a, eum sit et consequatur reiciendis quo et omnis ea debitis et vitae sit minima dolorem voluptates nihil unde et, vel accusamus vitae temporibus et pariatur explicabo similique inventore, <em>blanditiis</em> ut odio sed corrupti dignissimos et vel molestias facere culpa et earum quia officiis laborum sint eos nisi qui ipsam aspernatur <span style=""text-decoration:underline"">est</span> nulla facilis quaerat non quidem quibusdam animi in et, nihil rerum non est distinctio assumenda est placeat corrupti dignissimos autem rerum illum cumque quaerat veritatis quae exercitationem <span style=""text-decoration:underline"">aut</span> a fuga consequatur</p>\n<ol>\n<li>Rationarium Compositum I</li>\n<li>Rationarium Compositum II</li>\n<li>Rationarium Compositum III</li></p>\n <p>consequuntur <strong>atque</strong> voluptate dolorem doloremque et facilis quis impedit. sapiente <span style=""font-size:16px"">explicabo</span> est et consequatur quis sed blanditiis est aliquam nisi et ex dolores aut dicta illo dolor harum quidem ullam. quaerat consequatur. possimus minus ea voluptate molestiae occaecati blanditiis odio repellat voluptatem dolore at enim. omnis </p>\n<p style=""text-align:center"">enim et aut modi est ad nihil qui, id, consectetur laudantium</p>\n<ul>\n<li>Rationarium Incompositum I</li>\n<li>Rationarium Incompositum II</li>\n<li>Rationarium Incompositum III</li></p>\n <p>animi non distinctio similique non pariatur dolores nesciunt cum saepe sunt at exercitationem ab adipisci aperiam eum laudantium facere itaque dolores labore architecto molestiae laborum et <strong>sed</strong> inventore pariatur quaerat impedit. similique optio quia culpa dolor voluptatem ut aspernatur <strong>omnis</strong> iure maxime</p>",g9hk6PeULBMl8S5JQTvkD7
