ACARA ID,State
48096,QLD
44003,NSW
44370,VIC
40987,NSW
43762,NSW
52056,NSW
46801,QLD
41852,NSW
44727,VIC
49360,SA
49663,SA
47089,QLD
41853,NSW
48059,QLD
50072,NT
46412,QLD
45704,VIC
48264,WA
42715,NSW
41854,NSW
46213,VIC
52146,VIC
46214,VIC
52576,SA
49559,SA
49453,SA
52254,SA
49340,SA
50073,NT
49664,SA
49643,SA
42530,NSW
52378,VIC
52379,VIC
52430,VIC
43780,NSW
42326,NSW
47391,QLD
44886,VIC
49910,ACT
49549,SA
41594,NSW
52492,VIC
44716,VIC
46805,QLD
46353,VIC
50266,VIC
52696,VIC
46899,QLD
41548,NSW
43919,NSW
43852,NSW
50603,NSW
52380,VIC
43958,NSW
40979,NSW
43741,NSW
40720,NSW
46390,VIC
43946,NSW
50567,VIC
50010,NT
45065,VIC
47534,QLD
46546,QLD
47310,QLD
48265,WA
45217,VIC
48851,WA
48116,WA
50267,VIC
52157,VIC
40769,QLD
44224,VIC
42339,NSW
46424,QLD
49198,SA
44030,VIC
44875,VIC
42936,NSW
42716,NSW
42861,NSW
44732,VIC
40100,TAS
42689,NSW
42654,NSW
42531,NSW
42532,NSW
50074,NT
42356,NSW
44987,VIC
49204,SA
49212,SA
47419,QLD
50054,NT
50379,NSW
52676,NSW
52413,NSW
52414,NSW
52415,NSW
52677,NSW
40724,NSW
52072,NSW
52306,NSW
52891,NSW
52612,NSW
52307,NSW
47373,QLD
47553,QLD
46686,QLD
44166,VIC
45349,VIC
41184,NSW
43952,NSW
50593,NSW
51520,NSW
41115,NSW
49911,ACT
44196,VIC
47289,QLD
49106,WA
46354,VIC
52381,VIC
46379,VIC
50008,NT
52942,NT
50157,NT
48691,WA
52880,WA
50319,WA
52262,WA
52490,WA
52261,WA
45604,VIC
43567,NSW
43404,NSW
47882,QLD
48002,QLD
43422,NSW
52877,NSW
43491,NSW
49784,SA
40451,NSW
49049,WA
40618,NSW
43318,NSW
43886,NSW
40892,NSW
43959,NSW
45736,VIC
47925,QLD
43616,NSW
47743,QLD
48001,QLD
41281,NSW
44031,VIC
48266,WA
52437,NSW
49337,SA
49436,SA
48267,WA
46516,QLD
46886,QLD
46396,QLD
46698,QLD
42940,NSW
46923,QLD
50380,NSW
52618,NSW
46757,QLD
46316,VIC
44625,VIC
50075,NT
42405,NSW
42138,NSW
40784,WA
52749,WA
50607,WA
50599,WA
50598,WA
52751,WA
52752,WA
50597,WA
51523,WA
52484,WA
52487,WA
51524,WA
52485,WA
40952,WA
40967,WA
52663,WA
40951,WA
51528,WA
40978,WA
52750,WA
52836,WA
51521,QLD
52602,QLD
52911,QLD
46309,VIC
52102,VIC
45587,VIC
45141,VIC
45061,VIC
44919,VIC
44671,VIC
45291,VIC
50051,NT
50124,NT
47237,QLD
50138,NT
48268,WA
49882,ACT
49561,SA
41607,NSW
41498,NSW
46485,QLD
47134,QLD
47720,QLD
47206,QLD
44001,NSW
44006,NSW
43925,NSW
50076,NT
44330,VIC
50077,NT
45218,VIC
44376,VIC
46730,QLD
40392,VIC
49353,SA
47189,QLD
45019,VIC
50565,TAS
49224,SA
52446,QLD
52603,QLD
49232,SA
44744,VIC
47996,QLD
50055,NT
41855,NSW
48048,QLD
40989,NSW
40988,NSW
46702,QLD
41247,NSW
52265,WA
49808,SA
45973,VIC
43093,NSW
46112,VIC
46113,VIC
49781,SA
44866,VIC
50011,NT
52051,NSW
48561,WA
45292,VIC
45068,VIC
45085,VIC
41354,NSW
48270,WA
48117,WA
47095,QLD
44230,VIC
43492,NSW
45947,VIC
47860,QLD
48916,WA
40343,NT
44974,VIC
46627,QLD
49883,ACT
48911,WA
48965,WA
44958,VIC
44142,VIC
45523,VIC
52180,VIC
44809,VIC
47086,QLD
49934,ACT
48768,WA
50595,QLD
52493,QLD
41194,NSW
42019,NSW
46905,QLD
44869,VIC
44998,VIC
43976,NSW
40919,NSW
42533,NSW
44311,VIC
48271,WA
49419,SA
49658,SA
48115,QLD
51489,QLD
52445,QLD
51498,QLD
50078,NT
42001,NSW
42534,NSW
52875,NSW
43943,NSW
40836,NT
48818,WA
48272,WA
44490,VIC
48118,WA
42410,NSW
42514,NSW
52723,NSW
52589,VIC
52923,VIC
41129,NSW
40524,NSW
43960,NSW
40647,NSW
51481,VIC
41313,NSW
41195,NSW
41848,NSW
44336,VIC
47404,QLD
43953,NSW
49273,SA
46615,QLD
44486,VIC
45022,VIC
44696,VIC
48675,WA
44741,VIC
40990,NSW
44298,VIC
41585,NSW
41477,NSW
48763,WA
48258,WA
41189,NSW
48273,WA
40991,NSW
42412,NSW
46544,QLD
52697,VIC
40253,TAS
42671,NSW
47294,QLD
42072,NSW
46754,QLD
45518,VIC
45015,VIC
