School Name,City,State,Postcode,Type,Sector,Status,ACARA ID,DEEWR ID
A B Paterson College,ARUNDEL,QLD,4214,Primary/Secondary,Non-Government,Open,48096,13495
Abbotsford Primary School,ABBOTSFORD,VIC,3067,Primary,Government,Open,44370,8050
Abbotsford Public School,ABBOTSFORD,NSW,2046,Primary,Government,Open,40987,4402
Abbotsleigh,WAHROONGA,NSW,2076,Primary/Secondary,Non-Government,Open,43762,1302
Abercorn State School,ABERCORN,QLD,4627,Primary,Government,Open,46801,12692
Aberdeen Public School,ABERDEEN,NSW,2336,Primary,Government,Open,41852,9333
Aberfeldie Primary School,ESSENDON,VIC,3040,Primary,Government,Open,44727,4744
Aberfoyle Hub R-7 School,ABERFOYLE PARK,SA,5159,Primary,Government,Open,49360,22782
Aberfoyle Park High School,ABERFOYLE PARK,SA,5159,Secondary,Government,Open,49663,17389
Abergowrie State School,ABERGOWRIE,QLD,4850,Primary,Government,Open,47089,13072
Abermain Public School,ABERMAIN,NSW,2326,Primary,Government,Open,41853,9299
Aboriginal and Islander Independent Community School,ACACIA RIDGE,QLD,4110,Primary/Secondary,Non-Government,Open,48059,5894
Acacia College,MERNDA,VIC,3754,Primary/Secondary,Non-Government,Open,46394,28868
Acacia Hill School,ALICE SPRINGS,NT,871,Primary/Secondary,Government,Open,50072,16524
Acacia Ridge State School,ACACIA RIDGE,QLD,4110,Primary,Government,Open,46412,11264
Academy of Mary Immaculate,FITZROY,VIC,3065,Secondary,Non-Government,Open,45704,739
Adam Road Primary School,SOUTH BUNBURY,WA,6230,Primary,Government,Open,48264,12443
Adaminaby Public School,ADAMINABY,NSW,2629,Primary,Government,Open,42715,10425
Adamstown Public School,ADAMSTOWN,NSW,2289,Primary,Government,Open,41854,9043
Adass Israel School,ELSTERNWICK,VIC,3185,Primary/Secondary,Non-Government,Open,46213,740
Adelaide East Education Centre,KENSINGTON,SA,5068,Secondary,Government,Open,49559,16481
Adelaide High School,ADELAIDE,SA,5000,Secondary,Government,Open,49453,6053
Adelaide North Special School,ELIZABETH,SA,5112,Primary/Secondary,Government,Open,49340,14717
Adelaide River School,ADELAIDE RIVER,NT,846,Primary/Secondary,Government,Open,50073,7937
Adelaide Secondary School of English,WEST CROYDON,SA,5008,Secondary,Government,Open,49664,16470
Adelaide West Special Education Centre,TAPEROO,SA,5017,Primary/Secondary,Government,Open,49643,16496
Adelong Public School,ADELONG,NSW,2729,Primary,Government,Open,42530,10667
Adventist Primary School - Toronto,TORONTO,NSW,2283,Primary,Non-Government,Open,43942,3323
Aetaomah School,TERRAGON,NSW,2484,Primary/Secondary,Non-Government,Open,43780,15898
Afterlee Public School,AFTERLEE,NSW,2474,Primary,Government,Open,42326,9750
Agnes Water State School,AGNES WATER,QLD,4677,Primary,Government,Open,47391,14448
Aim Senior Secondary Music College,SURRY HILLS,NSW,2010,Secondary,Non-Government,Open,40639,15400
Ainslie Parklands Primary School,CROYDON,VIC,3136,Primary,Government,Open,44886,8451
